iter	Logloss
0	0.6906172215
1	0.6867036929
2	0.6836277753
3	0.6807874482
4	0.6774575244
5	0.6733546641
6	0.6708552481
7	0.6679947952
8	0.664630846
9	0.66144553
10	0.658943264
11	0.6564398579
12	0.6540106412
13	0.650703781
14	0.64797123
15	0.6452931371
16	0.6422980298
17	0.6397025448
18	0.6370858379
19	0.6340357463
20	0.631518353
21	0.6284982089
22	0.6260498748
23	0.6235914559
24	0.6204517408
25	0.6179982328
26	0.6151023952
27	0.613299885
28	0.6105124375
29	0.6081540338
30	0.6060056138
31	0.602810476
32	0.6003359214
33	0.5984113408
34	0.5960970473
35	0.5939864235
36	0.5915651869
37	0.5892408524
38	0.5866000296
39	0.5845594735
40	0.5823771159
41	0.5803160832
42	0.5782560151
43	0.576335337
44	0.5735165388
45	0.5717309535
46	0.570424047
47	0.5685285371
48	0.5664685129
49	0.5639795325
50	0.5619889183
51	0.5596937859
52	0.5579867308
53	0.5560528985
54	0.5539004008
55	0.55203326
56	0.5499330279
57	0.5480998686
58	0.5467257006
59	0.5448545259
60	0.5429826057
61	0.5407973542
62	0.5387529834
63	0.5372334623
64	0.5349546411
65	0.5338481596
66	0.5321687282
67	0.5308470452
68	0.528498244
69	0.5269912194
70	0.5251805974
71	0.5233974238
72	0.5220900788
73	0.520587088
74	0.5186893858
75	0.5170454266
76	0.5152198967
77	0.5133265353
78	0.5113740241
79	0.5097477354
80	0.5078618718
81	0.5061972169
82	0.504752762
83	0.5030921848
84	0.501499746
85	0.5002441406
86	0.498427117
87	0.4972748154
88	0.4962527396
89	0.4947431718
90	0.4930574264
91	0.4916077099
92	0.4904278284
93	0.4894654723
94	0.488239946
95	0.4866684662
96	0.4855663694
97	0.4838413809
98	0.482505316
99	0.4811790729
100	0.4796118901
101	0.4780481273
102	0.4769473898
103	0.4757816709
104	0.4742908697
105	0.4730259249
106	0.4718280661
107	0.4707932746
108	0.4694029271
109	0.4678759959
110	0.466836162
111	0.4658889771
112	0.4643297744
113	0.4629488101
114	0.4616169546
115	0.4604308907
116	0.4593329594
117	0.4580248252
118	0.4569426789
119	0.4559855845
120	0.4548403861
121	0.4533794008
122	0.4520122923
123	0.4508237291
124	0.4500177756
125	0.4494308822
126	0.4484495843
127	0.4472906617
128	0.4461313007
129	0.4451841157
130	0.4441041618
131	0.4434022136
132	0.4423185765
133	0.4410464407
134	0.4400757976
135	0.4388747818
136	0.4376943742
137	0.4367154001
